Book Title;Year;Series Title;Imprint;URL
The Finite Element Method in Engineering (Fifth Edition);2011;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781856176613
The Finite Element Method in Engineering (Sixth Edition);2018;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128117682
Fluid Mechanics (Fifth Edition);2012;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123821003
Fluid Mechanics (Sixth Edition);2016;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124059351
Fluid Mechanics and Thermodynamics of Turbomachinery (Sixth Edition);2010;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781856177931
Fluid Mechanics and Thermodynamics of Turbomachinery (Seventh Edition);2014;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124159549
Forensic Toxicology;2016;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780127999678
Freshwater Ecology (Second Edition);2010;Aquatic Ecology;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123747242
Freshwater Ecology (Third Edition);2017;Aquatic Ecology;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128132555
Fundamental Neuroscience (Fourth Edition);2014;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123858702
Fundamentals of Cognitive Neuroscience;2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124158054
Fundamentals of Cognitive Neuroscience (Second Edition);2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128038130
Fundamentals of Forensic DNA Typing;2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123749994
Fundamentals of Forensic Science (Second Edition);2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123749895
Fundamentals of Forensic Science (Third Edition);2015;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128000373
Fundamentals of Spatial Information Systems;1992;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124383807
Fundamentals of the Theory of Computation: Principles and Practice;1998;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781558605473
Global Physical Climatology (Second Edition);2016;;Elsevier;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123285317
Handbook of Clinical Nutrition (Fourth Edition);2006;;Mosby;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780323039529
Handbook of Synthetic Organic Chemistry (Second Edition);2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128095812
